,element_type,osmid,name,population,geometry,wikidata,note,name:lt,wikipedia,source,nodes,admin_level,boundary,ref,ways,type,border_type,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,description,fixme,old_de:amtlicher_gemeindeschluessel,old_de:regionalschluessel,ref:LOCODE,de:amtlicher_gemeindeschluessel,alt_name,bicycle,old_name,name:frr,name:da,name:de,website,int_name
14,relation,367856,Blankensee,,"POLYGON ((10.6938094 53.7993608, 10.6957752 53.8013151, 10.6969382 53.8019882, 10.697556 53.8031135, 10.697824 53.8037724, 10.6943882 53.8144591, 10.6976061 53.8149792, 10.7033984 53.8164571, 10.7082934 53.8175027, 10.7127615 53.8156367, 10.7167299 53.8188052, 10.7200562 53.8178356, 10.7200454 53.8177751, 10.7240072 53.8169363, 10.7249484 53.8167534, 10.7249367 53.8167792, 10.7261293 53.8169869, 10.7270921 53.8171509, 10.7273761 53.8172119, 10.728078 53.8173609, 10.7291848 53.8175979, 10.7333412 53.8142572, 10.7333904 53.8142385, 10.7346677 53.8137533, 10.7359678 53.8131194, 10.7352709 53.8126874, 10.7351219 53.8125925, 10.7351999 53.8122525, 10.7354859 53.8119475, 10.7364217 53.8109446, 10.7368777 53.8104527, 10.7375746 53.8096098, 10.7379145 53.8091978, 10.7380355 53.8090489, 10.7381285 53.8089109, 10.7372767 53.8084119, 10.7367389 53.8081723, 10.7358313 53.8077371, 10.7365008 53.8069784, 10.7372614 53.8062462, 10.7398862 53.8056946, 10.7401192 53.8055874, 10.7402148 53.8055434, 10.7344848 53.8023981, 10.7343669 53.80242, 10.7321776 53.8022856, 10.7305728 53.8021596, 10.7300929 53.8021246, 10.7288071 53.8019496, 10.7299849 53.8008547, 10.7293434 53.8005703, 10.7283922 53.8001758, 10.7265185 53.7993709, 10.7248908 53.798673, 10.7223762 53.7976201, 10.7214093 53.7971811, 10.7184518 53.7958802, 10.7181489 53.7957353, 10.7176659 53.7953233, 10.7166011 53.7951323, 10.7158762 53.7949803, 10.7154553 53.7947893, 10.7150914 53.7945524, 10.7149104 53.7945184, 10.7144905 53.7945414, 10.7136656 53.7943314, 10.7129827 53.7941634, 10.7106691 53.7933135, 10.7093233 53.7928175, 10.7074936 53.7922826, 10.7069707 53.7921536, 10.7076116 53.7917606, 10.7084725 53.7912377, 10.7092933 53.7908298, 10.7104001 53.7914707, 10.7107021 53.7916617, 10.7109621 53.7915047, 10.711282 53.7912187, 10.711541 53.7908758, 10.7118999 53.7904598, 10.7124379 53.7896009, 10.7128348 53.788804, 10.7129948 53.788449, 10.7130528 53.7881251, 10.7131798 53.7875871, 10.7130163 53.7876262, 10.7095373 53.7873242, 10.706663 53.7871405, 10.7058256 53.7870934, 10.704816 53.786904, 10.7046277 53.7868444, 10.704475 53.7867968, 10.7040117 53.786636, 10.7035255 53.7864055, 10.7033398 53.7863054, 10.7029827 53.7861128, 10.7026257 53.7859203, 10.7019236 53.7854963, 10.7014776 53.7852453, 10.7004518 53.7848214, 10.7001432 53.7846905, 10.7000299 53.7846424, 10.6983042 53.7844664, 10.6972803 53.7844094, 10.6954696 53.7839025, 10.6947897 53.7836969, 10.6922537 53.7883829, 10.6910809 53.7904772, 10.6911464 53.7922197, 10.6897325 53.7930873, 10.6927079 53.7952543, 10.6948475 53.7968606, 10.6962564 53.7977975, 10.6963254 53.7978474, 10.6964285 53.7979218, 10.6938094 53.7993608))",,,,,,"[[[597827334, 597827332, 597827342, 597827343, 597827344, 323717240], [323717240, 323418595, 323731018, 324003505, 323500522, 323663466, 324069523, 323724569, 323433907, 323410824, 323458553, 323852935, 2598666479, 323731337, 323687648, 323547470, 323908682, 323521559, 323934638, 324084087, 323708101, 324043470, 323527842, 323601227, 323417376, 324066515, 324121516, 323628328, 323736197, 323692044, 323835085, 8827798792, 324031625, 3390840266, 395191434, 323824198, 323535911, 323815354, 323629959], [323629959, 323548898], [323548898, 3390840248, 323602858, 323623563, 323806558, 323523785, 323803124, 324087336, 324136958, 324048931, 324122994, 324033831, 324136819, 323780372, 323449961, 324037933, 324072214, 323334689, 324130473, 323480796, 323545221, 323921061, 323436353, 323584548, 324153202, 323745553, 323425490, 323438424, 323522252, 323828893, 324116049, 323644973, 323434165, 323389041, 323345295, 323475086, 1196703337], [2380226407, 323534691, 323935779, 323378877, 323592632, 1196703337], [2380226407, 323509458], [6616505996, 323509458], [6616505997, 6616505996], [6616505998, 6616505997], [6616505998, 6616505999], [323763723, 6616505999], [323763723, 323358660, 323392264, 323268329, 323698722, 323661631, 324006543, 323478177, 323833636, 597827113], [597827313, 597827312, 2894143049, 2894143048, 2894143039, 2894143026, 597827316, 597827319, 597827317, 597827112, 597827113], [597827334, 597827326, 597827324, 597827323, 597827325, 597827313]]]",10,administrative,,"[46786751, 46786671, 265068289, 69569226, 103642453, 229421449, 229421450, 704544556, 704544555, 704544557, 704544558, 174770613, 46786667, 46786743]",boundary,,,,,,,,,,,,,,,,,,
15,relation,367862,Kronsforde,,"POLYGON ((10.5991077 53.7893493, 10.5992216 53.7893843, 10.5993816 53.7895293, 10.5995226 53.7896133, 10.5996436 53.7896583, 10.5998036 53.7896583, 10.5997236 53.7897763, 10.5998445 53.7899223, 10.5998645 53.7900512, 10.6001065 53.7900972, 10.6003465 53.7903722, 10.6006084 53.7906202, 10.6006494 53.7907152, 10.6009514 53.7908452, 10.6006494 53.7910131, 10.6006714 53.7911271, 10.6005714 53.7912071, 10.6005094 53.7912911, 10.6005094 53.7913871, 10.6007714 53.7913871, 10.6009523 53.7915051, 10.6011133 53.7915541, 10.6010333 53.7917791, 10.6012533 53.791909, 10.6017362 53.7917911, 10.6019172 53.792039, 10.6021771 53.792134, 10.6023831 53.792203, 10.6027411 53.792325, 10.602981 53.792539, 10.603142 53.792371, 10.6034629 53.792336, 10.6035439 53.792382, 10.6036249 53.792489, 10.6036439 53.792634, 10.6039259 53.79268, 10.6040668 53.792787, 10.6039269 53.7928709, 10.6037659 53.7929659, 10.6039269 53.7929769, 10.6040878 53.7930499, 10.6038069 53.7932099, 10.6037289 53.7932669, 10.6036059 53.7933279, 10.6037479 53.7934239, 10.6038689 53.7935079, 10.6040488 53.7935189, 10.6040488 53.7936029, 10.6039678 53.7936489, 10.6039488 53.7937209, 10.6040098 53.7937558, 10.6041298 53.7937439, 10.6042098 53.7937439, 10.6042698 53.7938008, 10.6042498 53.7939458, 10.6045327 53.7940878, 10.6047527 53.7942058, 10.6049137 53.7942668, 10.6050946 53.7944808, 10.6052146 53.7945758, 10.6052156 53.7946868, 10.6051556 53.7947707, 10.6052556 53.7947587, 10.6055186 53.7947547, 10.6054576 53.7949117, 10.6057585 53.7949957, 10.6056493 53.7951174, 10.6055566 53.7952207, 10.6053186 53.7953157, 10.6052176 53.7955906, 10.6051776 53.7956586, 10.6052176 53.7957426, 10.6051576 53.7957806, 10.6050976 53.7958616, 10.6051786 53.7959336, 10.6048987 53.7961586, 10.6046577 53.7961356, 10.6046367 53.7962196, 10.6047987 53.7963996, 10.6047797 53.7964755, 10.6046577 53.7966055, 10.6046587 53.7967845, 10.6047806 53.7968654, 10.6048007 53.7969075, 10.6048406 53.7970095, 10.6049796 53.7971775, 10.6049806 53.7974364, 10.6049026 53.7977574, 10.6048426 53.7980204, 10.6046817 53.7981384, 10.6047017 53.7982223, 10.6046217 53.7982453, 10.6046227 53.7984473, 10.6048026 53.7985433, 10.6048646 53.7986493, 10.6047236 53.7986993, 10.6046237 53.7988063, 10.6047036 53.7988633, 10.6048236 53.7989283, 10.6050256 53.7989663, 10.6055275 53.7992372, 10.6058495 53.7992602, 10.6059884 53.7993322, 10.6060094 53.7995122, 10.6058105 53.7996762, 10.6058504 53.7997602, 10.6058514 53.7999282, 10.6060104 53.8000122, 10.6063134 53.8001761, 10.6064343 53.8002481, 10.6062924 53.8003431, 10.6061514 53.8004121, 10.6061324 53.8006031, 10.6058724 53.8005911, 10.6057315 53.8006371, 10.6055515 53.8006521, 10.6052685 53.8007591, 10.6051505 53.8006981, 10.6049706 53.8008201, 10.6049896 53.8008891, 10.6049271 53.800926, 10.6047896 53.801007, 10.6047996 53.8010375, 10.6048296 53.801129, 10.6047696 53.801225, 10.6045886 53.801282, 10.6046096 53.801416, 10.6044496 53.801511, 10.6042277 53.801438, 10.6041551 53.8014767, 10.6040636 53.8015255, 10.6040477 53.801534, 10.6037857 53.80158, 10.6037277 53.8017359, 10.6037277 53.8021169, 10.6037687 53.8022699, 10.6038887 53.8023119, 10.6039907 53.8024189, 10.6039297 53.8025099, 10.6039487 53.8025979, 10.6039097 53.8027048, 10.6040917 53.8029528, 10.6038917 53.8031548, 10.6039177 53.8032254, 10.6039707 53.8033688, 10.6038127 53.8036547, 10.6038317 53.8038877, 10.6039337 53.8038877, 10.6040137 53.8039257, 10.6041936 53.8039257, 10.6042946 53.8039977, 10.6044546 53.8040057, 10.6045566 53.8040587, 10.6044756 53.8041737, 10.6047176 53.8042497, 10.6047176 53.8044976, 10.6048185 53.8046006, 10.6050175 53.8046156, 10.6051595 53.8046386, 10.6052395 53.8047076, 10.6052805 53.8047686, 10.6049985 53.8048676, 10.6049775 53.8049476, 10.6049775 53.8050546, 10.6047995 53.8051766, 10.604831 53.805273, 10.6079879 53.8050221, 10.607961 53.8044775, 10.6101644 53.804206, 10.6121032 53.803736, 10.6132125 53.8041576, 10.6169023 53.8046306, 10.6191333 53.8049681, 10.623076 53.8058355, 10.6227459 53.8060373, 10.6226964 53.8060702, 10.6233777 53.8065407, 10.6239043 53.8061621, 10.6245037 53.8064483, 10.6254496 53.805621, 10.6296764 53.8021515, 10.6304721 53.8007903, 10.6309554 53.799466, 10.6308757 53.7977174, 10.6309782 53.7962376, 10.6317318 53.794655, 10.6318116 53.7944888, 10.631949 53.7942633, 10.6322508 53.7939181, 10.6324411 53.7937579, 10.6326571 53.7935255, 10.6330189 53.7932149, 10.6337055 53.7926988, 10.6341608 53.7923935, 10.6345746 53.7921161, 10.6349061 53.7918939, 10.6347714 53.7918318, 10.6333938 53.7912083, 10.6312235 53.7919031, 10.6297979 53.792597, 10.6282448 53.7920129, 10.6276277 53.7915403, 10.6274866 53.7914322, 10.6268148 53.7912709, 10.6258077 53.7910291, 10.6232626 53.7904179, 10.6209455 53.7904426, 10.6209074 53.790443, 10.6198928 53.790434, 10.6197875 53.7904344, 10.619719 53.7904346, 10.6195562 53.7904374, 10.6199443 53.7922951, 10.6095913 53.7910327, 10.6058618 53.7905779, 10.6020967 53.7887561, 10.6005771 53.7895875, 10.5992658 53.7893069, 10.5991077 53.7893493))",Q113674990,,,,,"[[[323529436, 597827239, 597827139, 597827138, 597827142, 597827141, 3658927319, 597827140, 3658927314, 3658927311, 597827135, 4421746019, 3658927302, 4421738820, 4421738821, 3844282035, 597827137, 597827136, 3429651826, 597827129, 597827100, 597827127], [597827127, 597827128], [597827128, 323754209], [323727017, 2675274569, 323910541, 2675274564, 2675274562, 323972943, 2675274554, 323786298, 4421944256, 4448891301, 323529436], [323727017, 597827145, 597827144, 597827143, 597827154, 597827148, 597827150, 597827149], [597827149, 597827147, 597827162, 597827161, 3844302397, 597827160, 597827157, 597827158, 597827164, 597827131, 597827134, 597827133, 597827132, 597827130], [323754209, 324016711, 323727865, 323328226, 323508622, 323789827, 323984933, 324029034, 323630451, 323942437, 323543220, 323821751, 323398770, 324128539, 323529833, 324148748, 323427627, 324023651, 323641109, 323896929, 324104396, 323751026, 323538822, 323580948, 323668705, 323870117, 323877354, 323569667, 323776497, 323539895, 323636707, 323595785, 323420811, 323941007, 323367707, 323350826, 323867352, 323570304, 323683324, 323666399, 324062440, 324067549, 323846708, 324120223, 323732578, 324054600, 323901828, 323671199, 323351373, 323518388, 323765382, 323685101, 323516669, 323360241, 324031303, 323829259, 323402393, 323608935, 323292188, 323270616, 323538958, 323447512, 323613860, 323449540, 324051354, 323663517, 3429653365, 323778541, 323761031, 323672026, 324064527, 323706839, 323435152, 323624266, 323491727, 323886060, 323734788, 323495216, 323951264, 323775045, 323825133, 323390195, 324081478, 323442965, 323876501, 323476201, 323637364, 324047581, 323370715, 324117755, 324064819, 323926296, 324035969, 324050137, 323819942, 323879118, 323924171, 323351119, 324026153, 323655621, 323547065, 323278264, 323715892, 323636763, 323984439, 323866939, 323870685, 323318795, 324103870, 323458796, 323874165, 323645967, 323894591, 324152577, 323272558, 323561153, 323265808, 323366955, 324126621, 323859995, 2520968405, 324016378, 2520968410, 324158259, 323692449, 323474212, 323519360, 324137312, 323452792, 2520968433, 2520968434, 324057509, 323376132, 323745747, 324026690, 323397452, 323266107, 323393848, 324092976, 324148266, 323276544, 323409434, 323703241, 687462351, 323772940, 323395141, 323376039, 324061945, 324018332, 324034639, 324032126, 323272635, 323752295, 323741874, 323449205, 323762266, 323716727, 323419171, 323854223, 324115519, 323431479, 324145735, 323546343, 324102721, 323843730, 597827130]]]",10,administrative,,"[46786656, 893150774, 893150775, 46786728, 46786735, 46786732, 46786734]",boundary,,,,,,,,,,,,,,,,,,
